route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
TAE:A,REGEN_41,TAE:MSAMARAJW,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJX,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJY,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJZ,"Cerisaie","",1,103,0,0,TAE:4188$ARD$23
TAE:A,REGEN_41,TAE:MSAMARAKA,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIX,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AAF$2
TAE:A,REGEN_41,TAE:MSAMARAKB,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKC,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKD,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKE,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKF,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKG,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKH,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKI,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKJ,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKK,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIY,"Mairie de St-Pierre","",0,101,0,0,TAE:4188$AA$3
TAE:A,REGEN_41,TAE:MSAMARAKL,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKM,"Cerisaie","",1,105,0,0,TAE:4188$ARD$23
TAE:A,REGEN_41,TAE:MSAMARAKN,"Mairie de Cléon","",1,105,0,0,TAE:4188$ARF$21
TAE:A,REGEN_41,TAE:MSAMARAKO,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKP,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKQ,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKR,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAKS,"Mairie de Cléon","",1,101,0,0,TAE:4188$ARF$21
TAE:B,REGEN_20,TAE:BJV2BID,"École de la Londe","",1,201,0,0,TAE:4188$BR$24
TAE:B,REGEN_20,TAE:BJVBRABI,"École de la Londe","",1,202,0,0,TAE:4188$BRF$25
TAE:A,REGEN_41,TAE:MSAMAAAIZ,"Mairie de St-Pierre","",0,101,0,0,TAE:4188$AA$3
TAE:B,REGEN_20,TAE:BJVBRABJ,"École de la Londe","",1,202,0,0,TAE:4188$BR$24
TAE:B,REGEN_20,TAE:BJVBRABK,"École de la Londe","",1,202,0,0,TAE:4188$BRMANDELA$26
TAE:B,REGEN_20,TAE:BJVBRABL,"École de la Londe","",1,202,0,0,TAE:4188$BR$24
TAE:B,REGEN_20,TAE:BJVBRABM,"École de la Londe","",1,203,0,0,TAE:4188$BR$24
TAE:B,REGEN_20,TAE:BJVBRABN,"École de la Londe","",1,203,0,0,TAE:4188$BRMANDELA$26
TAE:B,REGEN_20,TAE:BJVBRABO,"École de la Londe","",1,203,0,0,TAE:4188$BR$24
